Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
11/25/2018,Protein Packed Cinnamon Oat Pancake Mix,Breakfast,6.0,Tablespoons,214,1.69,15.77,34.91,0,10.14,4.50,11.26,416.67
11/25/2018,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,3.333,Each,233,16.66,20,0,5,0,0,616.61,233.31
11/25/2018,"Milk, Whole, Grass-Fed, Organic",Breakfast,0.5,Cup,75,4,4,6,2.50,5.50,0,15,60
11/25/2018,"Butter, Pure Irish",Breakfast,0.5,Tablespoon,50,5.50,0,0,4,0,0,15,0
11/25/2018,Maple Syrup,Breakfast,1.0,Serving,110,n/a,n/a,29,n/a,26,n/a,n/a,n/a
11/25/2018,"Cereal, GOLEAN, Original",Breakfast,1.0,Serving,180,2,12,40,0,8,13,0,115
11/25/2018,"Milk, Whole, Grass-Fed, Organic",Breakfast,0.25,Cup,38,2,2,3,1.25,2.75,0,7.50,30
11/25/2018,"Wine, Red",Dinner,10.0,Fluid ounces,250,0,0.21,7.67,0,1.82,0,0,11.76
11/25/2018,"Breadstick, w/ Garlic Butter Spread",Dinner,2.0,Each,280,5,8,50,1,2,1,0,920
11/25/2018,"Stuffed Mushrooms, Sampler",Dinner,1.0,Each,275,30,15,13,8,n/a,1,n/a,n/a
11/25/2018,"Create a Sampler, Fried Mozzarella",Dinner,1.0,Serving,320,21,14,20,9,1,1,45,740
11/25/2018,"Salad, Famous House, w/ Dressing",Dinner,1.0,Each,140,9,3,12,1.50,3,2,2.50,740
11/25/2018,"Steak, Gorgonzola-Alfredo",Dinner,1.0,Serving,"1,380",85,68,88,51,8,6,330,2810
11/25/2018,"Blizzard, Oreo, Mini",Dessert,1.0,Serving,380,14,8,55,10,42,1,30,210
11/24/2018,Alfresco Pasture-Raised Eggs,Breakfast,4.0,Each,280,20,24,0,6,0,0,740,280
11/24/2018,"Ham, Honey, Smoked",Breakfast,0.333,Pound,184,3.58,27.8,10.98,1.75,0,0,33.23,1359.42
11/24/2018,"Cheese, Cheddar",Breakfast,2.0,Ounces,223,18.22,14.17,0,10.12,0,0,60.75,364.49
11/24/2018,"Rice, Steamed White, Prepared",Breakfast,2.0,Cups,398,0.72,8.40,89.44,0,0,2.40,0,14
11/24/2018,"Milk, Whole, Grass-Fed, Organic",Breakfast,0.5,Cup,75,4,4,6,2.50,5.50,0,15,60
11/24/2018,"Sugar, Granulated",Breakfast,6.0,Teaspoons,98,0,0,25.20,0,25.15,0,0,0.25
11/24/2018,"Hamburger, Whataburger, Triple Meat",Dinner,1.0,Each,"1,120",68,61,58,26,13,2,192,1759
11/24/2018,"Cheese, Cheddar",Morning Nosh,3.0,Ounces,334,27.34,21.26,0,15.19,0,0,91.12,546.74
11/24/2018,"Pork, Cracklins",Morning Nosh,2.0,Ounces,324,28.35,24.30,0,36.45,0,0,60.75,1214.98
11/24/2018,"Jerky, Beef",Morning Nosh,1.0,Ounce,115,7.26,9.41,3.13,3.8,2.55,0.51,13.61,627.38
11/24/2018,Vita Coco Pure Coconut Water,Morning Nosh,2.0,Cups,90,0,0,22,0,22,0,0,50
11/24/2018,Pumpkin RX Bar,Dessert,1.0,Serving,210,8,12,24,1,14,5,0,130
11/24/2018,Scotch,Ale/Wine 1,2.0,Fluid ounces,133,0,0,0,0,0,0,0,0
11/23/2018,"Soup, Menudo, Beef Tripe & Hominy Stew",Breakfast,15.0,Ounces,332,8.75,29.75,35,4.37,0,10.50,218.75,1819.97
11/23/2018,"Nuts, Mixed",Breakfast,1.0,Ounce,170,15,6,6,2.50,0,2,0,115
11/23/2018,"Ham, Honey, Smoked",Lunch,0.25,Pound,138,2.69,20.33,8.24,1.32,0,0,24.95,1020.58
11/23/2018,"Beans, Pinto",Lunch,1.0,Serving,115,1,6,21,0,0,10,5,300
11/23/2018,"Rice, White",Lunch,1.0,Serving,210,4,3.50,40,0.50,0,1,0,345
11/23/2018,"Cheese, Cheddar, 1 oz Slice",Lunch,1.0,Slice,113,9.28,6.97,0.36,5.91,0.15,0,29.40,173.88
11/23/2018,"Enchilada, Chicken",Lunch,3.0,Each,630,33,36,51,12,6,6,105,1410
11/23/2018,"Corn, Sweet, Kernels",Lunch,0.25,Cup,31,0.49,1.19,6.78,0.12,2.27,0.73,0,5.44
11/23/2018,Cream Cheese,Lunch,1.0,Tablespoon,50,4.96,0.86,0.59,2.80,0.47,0,15.95,46.55
11/23/2018,"Soda, Pepsi",Dinner,1.0,Can,150,0,0,41,0,41,0,0,30
11/23/2018,"Tortilla, Corn",Dinner,4.0,Each,209,2.74,5.47,42.85,0.43,0.84,6.5,0,43.20
11/23/2018,"Enchilada, Chicken",Dinner,1.0,Each,210,11,12,17,4,2,2,35,470
11/23/2018,"Casserole, Broccoli Cheese Rice",Dinner,4.0,Ounces,170,3.50,1,28,2,1,1,15,630
11/23/2018,"Beans, Refried",Dinner,1.0,Cup,162,0,10.9,26.21,0,6.5,10.16,0,1391.50
11/23/2018,"Cheese, Velveeta",Dinner,6.0,Ounces,486,36.45,30.37,18.22,24.30,12.15,0,151.87,2490.71
11/23/2018,"Shake, Core Power Elite 42, Chocolate",Morning Nosh,1.0,Bottle,240,3.50,42,11,2,7,3,15,130
11/23/2018,"Doughnut, Chocolate Iced Traditional Cake",Morning Nosh,1.0,Each,280,16,3,32,6,14,1,25,350
