Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
02/16/2019,"Taco Salad, Fiesta, Beef",Lunch,0.75,Each,578,29.25,20.25,57.75,7.50,6,8.25,41.25,1080
02/16/2019,"Soup, Mexican Style Tortilla, Chicken",Lunch,2.25,Cups,292,4.52,18.3,44.98,2.21,2.26,6.62,22.5,1802.59
02/16/2019,"French Fries, Small",Lunch,0.25,Serving,58,2.75,0.75,7.25,0.38,0,0.75,0,40
02/16/2019,Chicken Bites,Lunch,3.0,Pieces,163,8.14,9.43,13.29,1.71,0.43,2.57,27.86,462.86
02/16/2019,"Soda, Pepsi",Dinner,12.0,Fluid ounces,150,0,0,41,0,41,0,0,30
02/16/2019,Fried Chicken Wings,Dinner,5.0,Pieces,515,35.45,41.90,3.80,9.70,n/a,0,130,125
02/16/2019,"Pizza, Pepperoni, 14"", Fast Food",Dinner,2.0,Slices,596,24.26,26.63,67.95,10.52,8.23,3.24,58.32,1365.12
02/16/2019,"Protein, Combat, Cookies & Cream",Morning Nosh,1.0,Scoop,140,1.50,25,5,1,2,1,75,150
02/16/2019,Hydration Multiplier,Morning Nosh,1.125,Servings,51,0,0,12.38,0,12.38,0,0,562.50
02/16/2019,Avocado,Morning Nosh,0.25,Each,80,7.37,1,4.29,1.7,0.33,3.37,0,3.52
02/16/2019,Tillamoo Medium Cheddar Cheese,Morning Nosh,1.0,Ounce,110,9,7,0,6,0,0,25,170
02/16/2019,"Black Forest Ham, Smokemaster Beechwood Smoked",Morning Nosh,1.5,Ounces,45,0.75,7.50,1.50,0,1.50,0,22.50,345
02/16/2019,Bacon,Morning Nosh,2.0,Slices,80,6,7,0,n/a,n/a,0,n/a,170
02/16/2019,"Ice Cream, Vanilla",Dessert,0.5,Cup,137,7.26,2.31,15.58,4.48,14.1,0.46,29.4,52.80
02/16/2019,Walnut Brownie,Dessert,43.0,Grams,253,10.12,1.26,32.88,1.26,24.3,5.6,n/a,n/a
02/16/2019,Ancient Sprouted Grains Crackers,Afternoon Nosh,29.0,Grams,145,7.25,3.11,18.64,0.52,1.4,1.4,0,176.7
02/16/2019,WHITE BEAN HUMMUS w/pine nuts & Herb topping,Afternoon Nosh,3.0,Tablespoons,106,6.7,3.4,7.59,0,0,3.4,0,167.6
02/15/2019,"Tortilla, Flour, 8""",Breakfast,2.0,Each,287,7.13,7.63,47.24,1.73,1.77,2.85,0,585.12
02/15/2019,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,3.0,Each,210,15,18,0,4.50,0,0,555,210
02/15/2019,"Potatoes, Breakfast",Breakfast,1.0,Each,140,5,2,21,0,1,2,0,290
02/15/2019,"Beef, Outside Skirt Steak, Boneless, Lean",Breakfast,0.25,Pound,233,16.41,21.21,0.27,6.40,0,0,78.71,80.5
02/15/2019,"Curry, Chicken Balti",Lunch,8.0,Ounces,238,11.34,23.78,10.84,2.1,7.93,4.52,66.23,585.5
02/15/2019,"Rice, Brown",Lunch,1.0,Serving,210,5.50,4,36,1,0,2.50,0,195
02/15/2019,"Steak Side, Sautéed Mushrooms",Lunch,1.0,Serving,130,6,7,11,2.50,5,3,0,660
02/15/2019,"Salad Dressing, Ranch",Lunch,1.0,Tablespoon,74,7.79,0.20,0.67,1.19,0.58,0.4,4.6,143.55
02/15/2019,"Rice, White, Basmati, Cooked",Dinner,1.0,Cup,204,0.60,4.90,43.30,0.30,0,0.90,0,2
02/15/2019,"Sushi, Tempura Roll",Dinner,5.0,Pieces,332,6.88,15.63,51.25,0,6.25,1.25,65.63,720
02/15/2019,"Noodles, Lo Mein, Chicken",Dinner,0.5,Each,355,9,21,49,1.25,n/a,3.50,n/a,1520
02/15/2019,"Beef, Outside Skirt Steak, Boneless, Lean",Dinner,0.25,Pound,233,16.41,21.21,0.27,6.40,0,0,78.71,80.5
02/15/2019,"Shrimp, Breaded Fried, Fast Food",Dinner,7.0,Each,454,24.89,18.87,39.99,5.38,0,0,200.5,1446.26
02/15/2019,"Potatoes, Skinless, Cooked",Dinner,2.0,Cups,268,0.31,5.34,62.43,0.6,2.65,5.62,0,15.60
02/15/2019,"Ice Cream, Vanilla",Dessert,0.5,Cup,137,7.26,2.31,15.58,4.48,14.1,0.46,29.4,52.80
