Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
12/16/2018,"Oysters, Pacific",Lunch,6.0,Each,243,6.90,28.35,14.85,1.53,0,0,150,318
12/16/2018,"Bread, French, Small Slice",Lunch,1.0,Slice,92,0.59,3.76,18.6,0.16,0.82,0.77,0,208
12/16/2018,"Butter, Pure Irish",Lunch,1.0,Tablespoon,100,11,0,0,8,0,0,30,0
12/16/2018,"Side, Zucchini & Squash, Sauteed",Lunch,2.0,Each,120,12,2,6,2,4,2,0,210
12/16/2018,"Shrimp, Breaded Fried, Fast Food",Lunch,5.0,Each,324,17.78,13.48,28.57,3.84,0,0,142.89,1033.4
12/16/2018,"French Fries, Medium, Fast Food",Lunch,0.25,Serving,107,5.71,1.26,12.57,1.33,0.23,1.17,0,64.99
12/16/2018,Mixed Seafood Grill,Lunch,1.0,Serving,566,8,59,14,n/a,0,0,n/a,n/a
12/16/2018,"Bread, Thin Sliced, 21 Whole Grains & Seeds",Dinner,3.0,Slices,180,3,9,36,0,9,9,0,300
12/16/2018,"Bread, Sourdough",Dinner,3.0,Ounces,249,2.7,8.30,45.64,0,0,2.7,0,456.36
12/16/2018,"Chips, Pita",Dinner,20.0,Pieces,260,10,6,38,1,2,2,0,540
12/16/2018,Original Hummus,Dinner,6.0,Tablespoons,180,90,6,15,1.50,3,3,0,315
12/16/2018,"Cheetos, Crunchy, Flamin' Hot",Dinner,30.0,Pieces,229,15.71,1.43,18.57,2.14,0,0.71,0,357.14
12/16/2018,Honey Smoked Turkey Breast,Dinner,0.333,Pound,160,2.66,26.64,2.66,1.33,2.66,0,21.31,1385.28
12/16/2018,"Cheese, Cheddar",Dinner,5.0,Ounces,557,45.56,35.44,0,25.31,0,0,151.87,911.23
12/16/2018,Original Tart,Dessert,16.0,Fluid ounces,360,0,12,80,n/a,60,n/a,n/a,460
12/16/2018,"Cereal, Go Lean Crunch",Dessert,28.0,Grams,100,1.58,4.75,20.8,0,6.87,4.23,0,52.83
12/15/2018,Plant Protein Shake - Cacao Bean,Breakfast,12.0,Fluid ounces,190,7,18,13,0.50,4,7,0,240
12/15/2018,"Cheese, Cheddar",Breakfast,2.25,Ounces,251,20.50,15.95,0,11.39,0,0,68.34,410.6
12/15/2018,"Bread, Thin Sliced, 21 Whole Grains & Seeds",Breakfast,2.0,Slices,120,2,6,24,0,6,6,0,200
12/15/2018,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,3.0,Each,210,15,18,0,4.50,0,0,555,210
12/15/2018,Bacon,Breakfast,2.0,Slices,80,6,7,0,n/a,n/a,0,n/a,170
12/15/2018,"Cheese, Goat",Breakfast,2.0,Tablespoons,50,4,3,1,2.50,1,0,20,120
12/15/2018,"Muffin, Banana Nut",Breakfast,2.0,Each,340,6,14,56,1,20,12,30,700
12/15/2018,"Chips, Pita",Lunch,15.0,Pieces,195,7.50,4.50,28.50,0.75,1.50,1.50,0,405
12/15/2018,Multigrain Croissant,Lunch,1.0,Serving,120,5,7,31,3.50,n/a,n/a,15,115
12/15/2018,"Turkey Breast, Lean, Cooked",Lunch,0.5,Pound,429,15.88,58.97,0,4.76,0,0,167.83,142.88
12/15/2018,"Egg, Hard Boiled, Whole, Large",Lunch,1.0,Each,78,5.30,6.29,0.56,1.63,0.56,0,186.50,62
12/15/2018,Avocado,Lunch,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
12/15/2018,"Cheese, Blue, Crumbled",Lunch,0.25,Cup,119,9.70,7.22,0.79,6.30,0.17,0,25.31,470.81
12/15/2018,"Dressing, Fresh Herb Vinaigrette",Lunch,1.0,Serving,290,30,0,6,2.50,4,0,0,450
12/15/2018,"Seeds, Pumpkin, Natural",Lunch,0.125,Cup,80,6,3,3.50,1,0,1.50,0,0
12/15/2018,"Bacon, Bits",Lunch,4.0,Tablespoons,120,6,12,8,0,0,0,0,480
12/15/2018,"Vegetables, Peas & Carrots, Frozen",Lunch,7.0,Ounces,105,0.93,6.75,22.13,0.16,0,6.75,0,156.77
12/15/2018,"Roll, Dinner, Plain, Small",Dinner,2.0,Each,155,3.23,5.43,26.2,0.69,2.77,1,2,268
12/15/2018,"Beef, Brisket, Lean, Braised",Dinner,0.333,Pound,329,15.23,44.94,0,5.48,0,0,140.47,105.73
12/15/2018,"Turkey Breast, Lean, Cooked",Dinner,0.25,Pound,214,7.94,29.48,0,2.38,0,0,83.91,71.44
12/15/2018,"Sausage, Pork, Smoked, Link, 2""x3/4""",Dinner,5.0,Each,246,22.58,9.58,0.14,7.45,0.75,0,48.80,661.60
12/15/2018,"Potatoes, Red, Baby, Cooked",Dinner,1.0,Cup,139,0.23,3.59,30.56,0.3,2.23,2.81,0,18.72
12/15/2018,"Beans, Refried",Dinner,1.0,Cup,162,0,10.9,26.21,0,6.5,10.16,0,1391.50
12/15/2018,Intense Dark Chocolate 92% Cacao,Morning Nosh,1.0,Piece,63,6.67,1,3.33,4,0.67,1.33,0,0
12/15/2018,"Cheetos, Crunchy",Morning Nosh,21.0,Pieces,150,10,2,13,1.50,1,0.50,0,250
12/15/2018,Grapes,Morning Nosh,2.0,Cups,202,1.6,1.90,51.79,0.33,49.8,2.72,0,6.4
12/14/2018,Sausage Egg And Cheese Muffin,Breakfast,1.0,Serving,490,30,20,32,n/a,n/a,2,n/a,n/a
12/14/2018,Egg White Chicken Grill,Breakfast,1.0,Serving,300,6,25,31,3,1,1,55,970
12/14/2018,Medium Fruit Cup,Breakfast,2.0,Servings,90,0,0,24,0,18,4,0,0
12/14/2018,Bacon,Breakfast,1.0,Slice,40,3,3.50,0,n/a,n/a,0,n/a,85
12/14/2018,Alfresco Pasture-Raised Eggs,Breakfast,2.0,Each,140,10,12,0,3,0,0,370,140
12/14/2018,"Pork, Chorizo",Breakfast,0.5,Ounce,43,3.64,2.2,0.61,1.42,0.20,0,25.31,135.67
12/14/2018,Chicken Finger,Lunch,6.0,Pieces,720,30,78,24,0,0,0,180,1380
12/14/2018,"Salad, Baby Spinach & Feta",Lunch,2.0,Each,226,14,16,12,10,4,6,54,896
12/14/2018,"Dip, Ranch",Lunch,3.0,Tablespoons,60,5,1,2,0,1,0,5,210
12/14/2018,Original Hummus,Dinner,3.0,Tablespoons,90,45,3,7.50,0.75,1.50,1.50,0,157.50
12/14/2018,"Chips, Pita",Dinner,15.0,Pieces,195,7.50,4.50,28.50,0.75,1.50,1.50,0,405
12/14/2018,"Bread, Sourdough",Dinner,2.25,Slices,416,2.64,16.92,81.27,0.71,3.69,3.46,0,936
12/14/2018,"Fish, Tilapia, Parmesan Crusted",Dinner,1.0,Each,410,20,43,16,8,n/a,n/a,n/a,1270
12/14/2018,"Butter, Pure Irish",Dinner,1.0,Tablespoon,100,11,0,0,8,0,0,30,0
12/14/2018,"Vegetables, Mixed",Dinner,0.667,Cup,60,0,1.99,11.95,0,3.98,1.99,0,19.91
12/14/2018,"Combat Powder, Chocolate Milk",Morning Nosh,1.25,Scoops,163,1.88,31.25,6.25,1.25,2.50,1.25,57.50,187.50
12/14/2018,"Orange, Mandarin, Small",Morning Nosh,1.0,Each,40,0.24,0.62,10.14,0.2,8.4,1.37,0,1.52
12/13/2018,"Ground Beef, Grass-fed, 85% Lean, Raw",Dinner,0.5,Pound,624,48.35,47.28,0,21.18,0,0,176.10,165.43
12/13/2018,"Beans, Green",Dinner,1.0,Each,60,3.50,2,7,1.50,1,3,0,180
12/13/2018,"Beans, Baked, Canned",Dinner,1.0,Cup,238,0.94,12.2,53.48,0.18,20.14,10.37,0,867.79
12/13/2018,"Ribs, Baby Back, Half Rack",Dinner,0.667,Each,367,24.68,34.2,1.33,8.67,n/a,n/a,n/a,380.19
12/13/2018,Chicken Nuggets 12 count,Dinner,18.0,Pieces,600,24,61.50,22.50,6,3,1.50,n/a,n/a
12/13/2018,"French Fries, Medium, Fast Food",Dinner,0.25,Serving,107,5.71,1.26,12.57,1.33,0.23,1.17,0,64.99
12/13/2018,"Combat Powder, Chocolate Milk",Morning Nosh,1.25,Scoops,163,1.88,31.25,6.25,1.25,2.50,1.25,57.50,187.50
12/12/2018,Egg White Chicken Grill,Breakfast,1.0,Serving,300,6,25,31,3,1,1,55,970
12/12/2018,Medium Fruit Cup,Breakfast,2.0,Servings,90,0,0,24,0,18,4,0,0
12/12/2018,"Cottage Cheese, 4% Milkfat, Organic",Breakfast,226.0,Grams,240,10,28,8,6,8,0,50,800
12/12/2018,"Orange, Mandarin, Small",Breakfast,1.0,Each,40,0.24,0.62,10.14,0.2,8.4,1.37,0,1.52
12/12/2018,Paleo Tomatillo Pork,Lunch,1.0,Serving,300,8,20,37,n/a,18,7,n/a,n/a
12/12/2018,Hinter-gatherer Chicken,Lunch,1.0,Serving,300,6,34,30,1.50,11,5,80,690
12/12/2018,"Barbecue Sauce, Slow-simmered Original",Lunch,4.0,Tablespoons,120,0,0,30,0,26,0,0,700
12/12/2018,Baked chicken wings w/skin,Dinner,6.0,Pieces,594,42,54,0,12,0,0,174,168
12/12/2018,"Pizza, Classic, Pepperoni",Dinner,1.0,Piece,278,11.25,13.38,31.13,5.13,3.25,1.50,24.38,542.50
12/12/2018,"Salad, Walnut, Blueberry, & Goat Cheese",Dinner,0.5,Each,235,16,7.50,17.50,5,9.50,2.50,20,200
12/12/2018,"Salad Dressing, Blue Cheese",Dinner,0.25,Cup,286,30.66,0.82,2.77,4.96,2.9,0.24,18.60,558
12/12/2018,"Chicken Nuggets, 4 Piece",Dinner,2.0,Pieces,90,6.50,5,5,1.25,0,0.50,15,195
12/12/2018,"Combat Powder, Chocolate Milk",Morning Nosh,1.25,Scoops,163,1.88,31.25,6.25,1.25,2.50,1.25,57.50,187.50
12/12/2018,Snack Bites Turkey,Morning Nosh,10.0,Pieces,133,6.67,10,8.33,1.67,8.33,0,33.33,466.67
12/12/2018,"Cheese, Cheddar",Morning Nosh,2.0,Ounces,223,18.22,14.17,0,10.12,0,0,60.75,364.49
12/12/2018,"Peanut Butter, Creamy",Morning Nosh,1.0,Tablespoon,94,8.6,4.1,3.13,1.68,1.48,0.96,0,73.44
12/12/2018,"Ice Cream, Chocolate, Waffle Cone, Scoop",Dessert,1.25,Each,480,18.75,10,68.75,11.25,45,2.50,110,178.75
12/11/2018,Egg White Chicken Grill,Breakfast,1.0,Serving,300,6,25,31,3,1,1,55,970
