Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
01/27/2019,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,3.0,Each,210,15,18,0,4.50,0,0,555,210
01/27/2019,Bacon,Breakfast,4.0,Slices,160,12,14,0,n/a,n/a,0,n/a,340
01/27/2019,"Butter, Pure Irish",Breakfast,0.5,Tablespoon,50,5.50,0,0,4,0,0,15,0
01/27/2019,"Bread, White, Extra Thin",Breakfast,2.0,Slices,140,2,4,26,0,4,n/a,0,240
01/27/2019,"Oatmeal, Plain, Fortified, Instant, Cooked",Breakfast,1.0,Cup,159,3.18,5.55,27.31,0.61,1.8,3.98,0,114.66
01/27/2019,"Sugar, Brown",Breakfast,0.125,Cup,105,0,0.3,27.7,0,26.78,0,0,7.73
01/27/2019,Superfood Smoothie,Breakfast,0.5,Serving,435,20.20,14.45,50.28,8.44,31.9,7.89,0,343.20
01/27/2019,"Cookie, Sugar",Lunch,1.0,Each,230,12,2,28,6,14,0.50,15,130
01/27/2019,Rice Crispy Treat,Lunch,1.0,Serving,90,2,0.50,17,0.50,8,0,0,105
01/27/2019,"Burger, 1/2lb, w/White Bun",Lunch,1.5,Each,"1,185",n/a,n/a,58.50,19.50,n/a,n/a,n/a,2794.50
01/27/2019,"French Fries, Large",Lunch,1.0,Serving,510,24,6,67,3,0,5,0,290
01/27/2019,"Pasta, Fettuccine Alfredo, w/ Chicken",Dinner,2.0,Servings,600,16,34,80,8,8,4,90,2100
01/27/2019,"Pizza, Pepperoni, 14"", Fast Food",Dinner,3.0,Slices,894,36.39,39.95,101.93,15.78,12.34,4.86,87.48,2047.68
01/27/2019,"Drink, Whey Protein, Powder",Morning Nosh,0.667,Scoop,80,0.67,16.1,2,0.33,0.67,0,20.1,40.2
01/27/2019,"Ice Cream Sandwich, Oreo Cookie",Dessert,1.0,Each,200,7,3,34,2,17,2,5,250
01/26/2019,Wild Berry Cereal,Breakfast,2.0,Cups,440,6,10,88,0,14,6,0,660
01/26/2019,Protein Milk,Breakfast,2.0,Cups,360,18,24,26,n/a,24,n/a,80,270
01/26/2019,Coffee Creamer,Breakfast,2.0,Tablespoons,30,0,0,4.40,0,3,0,0,29.60
01/26/2019,Snacking Rounds,Lunch,4.0,Servings,280,4,8,52,0,12,4,0,280
01/26/2019,Tillamoo Medium Cheddar Cheese,Lunch,1.0,Ounce,110,9,7,0,6,0,0,25,170
01/26/2019,"Black Forest Ham, Smokemaster Beechwood Smoked",Lunch,0.125,Pound,60,1,10,2,0,2,0,30,460
01/26/2019,"Bread, White, Extra Thin",Lunch,1.0,Slice,70,1,2,13,0,2,n/a,0,120
01/26/2019,"Banana, Medium, 7"" - 7 7/8"" Long",Lunch,1.0,Each,105,0.39,1.29,26.95,0.13,14.43,3.7,0,1.18
01/26/2019,"Chips, Corn, Sun Chips",Lunch,25.0,Pieces,217,9.35,3.52,29.79,0.96,3.19,3.1,0,144.85
01/26/2019,Walnut Brownie,Lunch,50.0,Grams,294,11.76,1.47,38.24,1.47,27.94,5.88,n/a,n/a
01/26/2019,"Peanuts, Dry Cooked, w/ Salt",Lunch,29.0,Each,170,14.40,6.87,6.24,2,1.21,2.32,0,235.77
01/26/2019,Saltgrass Steakhouse,Dinner,1.0,Each,219,15,n/a,116,n/a,n/a,4,n/a,500
01/26/2019,"Steak, Slow Roasted Prime Rib, 12 oz",Dinner,1.0,Serving,"1,050",86,69,0,39,1,0,265,1300
01/26/2019,"Salad, Wedge, Small Portion",Dinner,1.333,Each,387,31.99,10.66,13.33,9.33,n/a,1.33,n/a,813.13
01/26/2019,"Potato, Baked, Loaded",Dinner,1.0,Each,430,17,14,57,10,n/a,n/a,n/a,150
01/26/2019,"Shrimp, Breaded Fried, Fast Food",Dinner,1.0,Each,65,3.56,2.70,5.71,0.77,0,0,28.58,206.61
01/26/2019,"Shrimp, Grilled",Dinner,2.0,Each,90,1,18,2,0,n/a,n/a,n/a,1120
01/26/2019,"Chicken Tenders, Fast Food",Dinner,2.0,Each,162,9.38,10.49,8.82,1.53,0,0.45,25.20,479.92
01/26/2019,"French Fries, Small",Dinner,0.25,Serving,58,2.75,0.75,7.25,0.38,0,0.75,0,40
01/26/2019,"Popcorn, Butter",Morning Nosh,5.0,Cups,213,15,2.50,21.25,7.50,0,3.75,0,475
01/26/2019,"Pickles, Dill, Spears",Morning Nosh,1.0,Each,4,0.5,0.21,0.91,0.1,0.46,0.39,0,306.25
