Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Other","2019-01-31 05:06","2019-01-31 06:36","1:29:36",,"120.37689614935823","171.0",,,"747.768999999992","922.7179999999964"
"Other","2019-01-29 05:11","2019-01-29 07:24","2:13:28",,"128.66136834830684","174.0",,,"1267.4750000000056","1528.6240000000137"
"Other","2019-01-28 20:32","2019-01-28 21:12","0:39:37",,"133.91810344827587","158.0",,,"441.1359999999996","522.7470000000012"
"Other","2019-01-27 07:02","2019-01-27 08:07","1:05:28",,"136.73805601317957","187.0",,,"732.774000000001","892.9979999999966"
"Other","2019-01-26 15:12","2019-01-26 16:28","1:15:25",,"80.58233890214797","126.0",,,"419.0559999999932","596.3689999999912"
"Other","2019-01-26 06:54","2019-01-26 08:00","1:06:10",,"146.03622250970247","187.0",,,"861.2059999999981","991.651999999996"
"Other","2019-01-25 05:03","2019-01-25 06:14","1:10:43",,"118.23570190641247","180.0",,,"594.8429999999955","734.185999999999"
"Other","2019-01-24 05:14","2019-01-24 06:18","1:03:01",,"149.1015625","187.0",,,"837.3479999999998","964.4649999999958"
"Other","2019-01-23 20:58","2019-01-23 21:39","0:40:13",,"128.96666666666667","160.0",,,"421.2339999999986","523.8239999999976"
"Elliptical","2019-01-22 20:32","2019-01-22 21:24","0:51:51",,"129.83179297597042","163.0",,,"506.84400000000227","615.1360000000008"
"Other","2019-01-21 06:00","2019-01-21 06:54","0:54:21",,"149.57413793103447","190.0",,,"713.1319999999984","849.8759999999972"
"Elliptical","2019-01-20 19:01","2019-01-20 19:37","0:35:55",,"140.84895833333334","162.0",,,"404.98299999999983","505.38800000000117"
"Running","2019-01-20 05:26","2019-01-20 05:54","0:27:59","3.2766604731871536","126.41156462585035","146.0","0:08:32","7.022187420527803","274.51199999999943","352.03500000000014"
"Other","2019-01-19 06:57","2019-01-19 08:01","1:03:43",,"144.22826086956522","179.0",,,"800.697000000001","951.560999999999"
"Other","2019-01-18 05:29","2019-01-18 06:20","0:51:33",,"139.8799076212471","175.0",,,"622.7869999999976","725.8269999999959"
"Other","2019-01-17 05:40","2019-01-17 07:21","1:40:34",,"130.04591368227733","178.0",,,"1020.7120000000087","1242.3820000000114"
"Other","2019-01-16 05:58","2019-01-16 06:57","0:59:09",,"152.42418772563178","183.0",,,"839.4290000000033","957.7610000000041"
"Other","2019-01-15 05:21","2019-01-15 07:24","2:02:27",,"136.21644685802949","179.0",,,"1365.0830000000224","1636.167000000027"
"Other","2019-01-13 06:58","2019-01-13 08:02","1:04:27",,"138.4400606980273","181.0",,,"783.8399999999971","911.1319999999962"
"Other","2019-01-12 06:56","2019-01-12 08:05","1:09:02",,"139.28026533996683","178.0",,,"878.4910000000001","1040.522000000002"
"Other","2019-01-11 05:00","2019-01-11 06:09","1:08:35",,"131.81923714759535","175.0",,,"745.2780000000016","906.1899999999982"
"Other","2019-01-10 04:55","2019-01-10 07:43","1:21:49",,"127.86363636363636","183.0",,,"1002.8459999999983","1352.359000000001"
"Other","2019-01-09 15:07","2019-01-09 16:08","1:01:42",,"133.07909604519773","169.0",,,"582.7570000000017","731.8929999999987"
"Other","2019-01-08 04:55","2019-01-08 07:26","2:31:18",,"128.26745635910225","179.0",,,"1506.8109999999917","1834.7250000000042"
"Other","2019-01-07 05:56","2019-01-07 06:58","1:02:02",,"130.46418338108882","184.0",,,"642.5189999999998","767.6759999999972"
"Other","2019-01-06 06:57","2019-01-06 08:00","1:03:45",,"145.53812316715542","175.0",,,"791.630000000004","917.8560000000018"
"Other","2019-01-04 05:01","2019-01-04 06:17","1:16:23",,"141.02118644067798","186.0",,,"886.2170000000035","1064.882000000003"
"Other","2019-01-03 20:54","2019-01-03 21:56","1:01:27",,"140.7791601866252","174.0",,,"735.7939999999978","879.569999999996"
"Other","2019-01-01 20:04","2019-01-01 21:03","0:59:16",,"124.89723926380368","169.0",,,"542.730999999997","691.9250000000003"
