Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Other","2018-11-30 04:59","2018-11-30 06:26","1:26:53",,"124.74638487208009","178.0",,,"771.2059999999997","978.0829999999971"
"Other","2018-11-29 04:57","2018-11-29 06:10","1:12:57",,"142.14441747572815","180.0",,,"852.9660000000001","1001.7770000000011"
"Elliptical","2018-11-28 21:11","2018-11-28 21:46","0:35:12",,"142.57291666666666","163.0",,,"398.04400000000044","470.6979999999995"
"Other","2018-11-27 21:39","2018-11-28 03:59","0:52:11",,"75.54355016538038","134.0",,,"317.85999999999905","878.5080000000037"
"Other","2018-11-26 19:59","2018-11-26 21:04","1:04:42",,"150.6191819464034","184.0",,,"827.7760000000026","987.0990000000038"
"Other","2018-11-25 20:57","2018-11-25 21:09","0:12:14",,"81.64788732394366","118.0",,,"63.624999999999815","88.93799999999972"
"Other","2018-11-24 20:24","2018-11-24 20:53","0:29:13",,"145.14529914529913","159.0",,,"371.5590000000006","459.9460000000015"
"Rowing","2018-11-23 09:24","2018-11-23 09:33","0:09:17",,"166.32432432432432","177.0",,,"81.20300000000002","100.716"
"Other","2018-11-22 07:25","2018-11-22 08:33","1:08:02",,"122.00944669365722","176.0",,,"649.368000000003","810.9100000000046"
"Other","2018-11-21 08:35","2018-11-21 09:34","0:58:10",,"152.4640625","186.0",,,"776.4840000000015","925.4420000000041"
"Other","2018-11-20 05:00","2018-11-20 06:24","1:24:02",,"137.50613154960982","182.0",,,"890.8940000000001","1090.0109999999984"
"Other","2018-11-19 19:57","2018-11-19 21:01","1:04:19",,"149.00394736842105","189.0",,,"839.955000000006","998.9250000000077"
"Other","2018-11-18 21:18","2018-11-18 22:08","0:49:54",,"132.35261194029852","168.0",,,"494.89599999999996","595.9710000000023"
"Other","2018-11-17 06:13","2018-11-17 06:58","0:45:45",,"141.3200795228628","167.0",,,"559.2800000000004","652.2090000000027"
"Other","2018-11-16 05:54","2018-11-16 07:07","1:13:04",,"144.69473684210527","188.0",,,"914.0570000000032","1062.4070000000042"
"Other","2018-11-15 05:02","2018-11-15 06:15","1:12:39",,"134.41677588466578","172.0",,,"763.8760000000007","912.436000000002"
"Other","2018-11-14 16:13","2018-11-14 17:16","1:02:39",,"143.7772511848341","177.0",,,"764.0130000000039","891.098000000005"
"Other","2018-11-13 04:58","2018-11-13 06:08","1:09:26",,"150.49748743718592","180.0",,,"905.6260000000058","1073.7580000000062"
"Other","2018-11-11 07:02","2018-11-11 08:00","0:58:03",,"122.66366366366367","162.0",,,"500.46899999999874","646.2440000000017"
"Other","2018-11-10 07:01","2018-11-10 07:49","0:48:18",,"154.35753176043556","180.0",,,"657.6290000000008","785.2980000000022"
"Other","2018-11-09 04:59","2018-11-09 06:15","1:16:23",,"140.24179829890645","185.0",,,"915.2519999999944","1071.6169999999966"
"Other","2018-11-08 21:30","2018-11-08 21:59","0:29:47",,"143.76271186440678","163.0",,,"368.90999999999946","430.55700000000047"
"Other","2018-11-07 16:07","2018-11-07 17:20","1:12:29",,"154.36835891381347","185.0",,,"974.170000000008","1149.0800000000113"
"Other","2018-11-06 19:51","2018-11-06 20:29","0:37:48",,"120.77283372365339","149.0",,,"304.9300000000006","382.8190000000022"
"High Intensity Interval Training","2018-11-05 16:20","2018-11-05 16:58","0:38:32",,"119.19163763066202","175.0",,,"246.23399999999967","343.6929999999992"
"Other","2018-11-05 15:35","2018-11-05 16:20","0:44:39",,"139.03389830508473","176.0",,,"524.5149999999999","615.8450000000015"
"Other","2018-11-04 16:16","2018-11-04 18:01","1:44:55",,"91.72128514056224","144.0",,,"634.2680000000207","874.5620000000315"
"Other","2018-11-03 19:23","2018-11-03 20:30","1:07:30",,"128.95900439238653","172.0",,,"657.834999999999","824.1800000000013"
"Other","2018-11-02 04:59","2018-11-02 06:35","1:23:54",,"131.88092613009923","183.0",,,"892.9690000000054","1113.6180000000047"
"Other","2018-11-01 15:27","2018-11-01 16:30","1:03:30",,"130.74537695590328","171.0",,,"615.0269999999965","773.3679999999986"
